epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.39.340,6.463,0.902,-0.008,0.091
1.52517E+12,2018-05-01T10.42.39.420,6.543,0.617,0.048,0.246
1.52517E+12,2018-05-01T10.42.39.501,6.624,0.839,0.153,0.27
1.52517E+12,2018-05-01T10.42.39.581,6.704,0.921,0.076,0.246
1.52517E+12,2018-05-01T10.42.39.662,6.785,1.313,-0.145,0.438
1.52517E+12,2018-05-01T10.42.39.742,6.865,1.479,0.304,0.06
1.52517E+12,2018-05-01T10.42.39.824,6.947,0.667,0.327,0.03
1.52517E+12,2018-05-01T10.42.39.905,7.028,0.947,0.131,-0.027
1.52517E+12,2018-05-01T10.42.39.986,7.109,0.741,0.31,0.098
1.52517E+12,2018-05-01T10.42.40.066,7.189,0.869,0.06,0.095
1.52517E+12,2018-05-01T10.42.40.147,7.27,1.091,-0.214,0.009
1.52517E+12,2018-05-01T10.42.40.227,7.35,1.125,-0.021,0.092
1.52517E+12,2018-05-01T10.42.40.308,7.431,1.371,-0.039,0.046
1.52517E+12,2018-05-01T10.42.40.390,7.513,1.15,0.893,0.204
1.52517E+12,2018-05-01T10.42.40.470,7.593,0.958,0.141,0.266
1.52517E+12,2018-05-01T10.42.40.551,7.674,0.691,-0.145,0.158
1.52517E+12,2018-05-01T10.42.40.632,7.755,0.639,0.062,0.261
1.52517E+12,2018-05-01T10.42.40.712,7.835,0.917,0.025,0.307
1.52517E+12,2018-05-01T10.42.40.793,7.916,1.115,-0.074,0.379
1.52517E+12,2018-05-01T10.42.40.873,7.996,1.65,0.214,0.243
1.52517E+12,2018-05-01T10.42.40.955,8.078,0.767,0.271,0.06
1.52517E+12,2018-05-01T10.42.41.036,8.159,0.919,0.16,-0.099
1.52517E+12,2018-05-01T10.42.41.116,8.239,0.79,0.297,0.059
1.52517E+12,2018-05-01T10.42.41.197,8.32,0.771,0.271,0.025
1.52517E+12,2018-05-01T10.42.41.278,8.401,1.027,-0.148,0.045
1.52517E+12,2018-05-01T10.42.41.358,8.481,1.184,-0.145,0.022
